,,,,Emperical,Theoretical
4,12,737375,7.37E-04,17,28
5,20,39250,3.93E-05,22,51.4385619
6,30,54125,5.41E-05,26,83.54887502
7,42,77458,7.75E-05,43,124.9089067
8,56,63000,6.30E-05,57,176
9,72,95667,9.57E-05,92,237.2346001
10,90,269917,2.70E-04,60,308.9735285
11,110,83333,8.33E-05,96,391.5374781
12,132,108666,1.09E-04,120,485.2150501
13,156,136875,1.37E-04,158,590.268596
14,182,119375,1.19E-04,134,706.9385958
15,210,108833,1.09E-04,149,835.4470251
16,240,157750,1.58E-04,161,976
17,272,124083,1.24E-04,204,1128.789893
18,306,127583,1.28E-04,211,1293.99705
19,342,105333,1.05E-04,295,1471.79121
20,380,122042,1.22E-04,282,1662.332676
21,420,117125,1.17E-04,520,1865.773318
22,462,133625,1.34E-04,497,2082.257408
23,506,107833,1.08E-04,475,2311.92235
24,552,111458,1.11E-04,390,2554.8993
25,600,142000,1.42E-04,557,2811.313714
26,650,180875,1.81E-04,860,3081.285817
27,702,176375,1.76E-04,563,3364.931027
28,756,162708,1.63E-04,611,3662.360321
29,812,168417,1.68E-04,739,3973.680568
30,870,183166,1.83E-04,718,4298.994818
31,930,184500,1.85E-04,924,4638.402569
32,992,196583,1.97E-04,1005,4992
33,1056,550458,5.50E-04,714,5359.88019
34,1122,265666,2.66E-04,1088,5742.133308
35,1190,314750,3.15E-04,1245,6138.84679
36,1260,282833,2.83E-04,724,6550.105502
37,1332,271458,2.71E-04,1210,6975.991883
38,1406,229709,2.30E-04,1442,7416.586084
39,1482,208000,2.08E-04,1068,7871.966088
40,1560,253917,2.54E-04,1406,8342.207828
41,1640,287459,2.87E-04,2065,8827.385288
42,1722,252792,2.53E-04,1540,9327.570602
43,1806,212000,2.12E-04,1539,9842.834147
44,1892,150041,1.50E-04,1486,10373.24462
45,1980,269334,2.69E-04,1770,10918.86913
46,2070,258208,2.58E-04,2002,11479.77325
47,2162,208500,2.09E-04,1927,12056.0211
48,2256,291041,2.91E-04,2909,12647.6754
49,2352,235416,2.35E-04,2185,13254.79755
50,2450,1002667,0.001002667,1936,13877.44766
51,2550,292791,2.93E-04,2741,14515.68462
52,2652,260625,2.61E-04,2396,15169.56613
53,2756,256958,2.57E-04,2137,15839.14877
54,2862,295625,2.96E-04,3326,16524.48803
55,2970,292667,2.93E-04,3585,17225.63835
56,3080,262791,2.63E-04,2992,17942.65316
57,3192,299666,3.00E-04,2404,18675.58493
58,3306,317917,3.18E-04,3386,19424.48517
59,3422,497709,4.98E-04,4604,20189.40451
60,3540,331708,3.32E-04,3533,20970.39271
61,3660,367042,3.67E-04,2766,21767.49866
62,3782,452792,4.53E-04,3791,22580.77045
63,3906,400667,4.01E-04,3827,23410.25538
64,4032,382834,3.83E-04,3682,24256
65,4160,340959,3.41E-04,2996,25118.0501
66,4290,431500,4.32E-04,3824,25996.45077
67,4422,400083,4.00E-04,4194,26891.2464
68,4556,520000,5.20E-04,4145,27802.4807
69,4692,517042,5.17E-04,4328,28730.19675
70,4830,492834,4.93E-04,4626,29674.43697
71,4970,523125,5.23E-04,5796,30635.24318
72,5112,447458,4.47E-04,4501,31612.65661
73,5256,468916,4.69E-04,5727,32606.71788
74,5402,588916,5.89E-04,4993,33617.46708
75,5550,530458,5.30E-04,5365,34644.94373
76,5700,457334,4.57E-04,5876,35689.18683
77,5852,553833,5.54E-04,6586,36750.23484
78,6006,664416,6.64E-04,7337,37828.12573
79,6162,718667,7.19E-04,7614,38922.89697
80,6320,603709,6.04E-04,6212,40034.58556
81,6480,534625,5.35E-04,6289,41163.22802
82,6642,529042,5.29E-04,7235,42308.86041
83,6806,590375,5.90E-04,5724,43471.51837
84,6972,651916,6.52E-04,8024,44651.23707
85,7140,744792,7.45E-04,8301,45848.05128
86,7310,602083,6.02E-04,7736,47061.99536
87,7482,572208,5.72E-04,6884,48293.10324
88,7656,983250,9.83E-04,9050,49541.40847
89,7832,725584,7.26E-04,8581,50806.94423
90,8010,663500,6.64E-04,7169,52089.7433
91,8190,909500,9.10E-04,9793,53389.8381
92,8372,874541,8.75E-04,11304,54707.2607
93,8556,891583,8.92E-04,8857,56042.04279
94,8742,1168209,0.001168209,8908,57394.21574
95,8930,897291,8.97E-04,10816,58763.81058
96,9120,781208,7.81E-04,9268,60150.85801
97,9312,685375,6.85E-04,8126,61555.38839
98,9506,1041709,0.001041709,9955,62977.43178
99,9702,915750,9.16E-04,11933,64417.01793
100,9900,837791,8.38E-04,9099,65874.17628
101,10100,971166,9.71E-04,10147,67348.93598
102,10302,872334,8.72E-04,12069,68841.32587
103,10506,825458,8.25E-04,10463,70351.37454
104,10712,1034291,0.001034291,11956,71879.11026
105,10920,1021958,0.001021958,12521,73424.56105
106,11130,996375,9.96E-04,12001,74987.75466
107,11342,1090417,0.001090417,11853,76568.71856
108,11556,1059250,0.00105925,13128,78167.47998
109,11772,913750,9.14E-04,13202,79784.06587
110,11990,1230750,0.00123075,12895,81418.50297
111,12210,1039334,0.001039334,12223,83070.81773
112,12432,1412000,0.001412,15147,84741.03639
113,12656,970917,9.71E-04,12056,86429.18495
114,12882,1096000,0.001096,15599,88135.28916
115,13110,1101125,0.001101125,14909,89859.37457
116,13340,1137375,0.001137375,14762,91601.46648
117,13572,1045083,0.001045083,14188,93361.58997
118,13806,1578459,0.001578459,17554,95139.76994
119,14042,1011500,0.0010115,14377,96936.03103
120,14280,1332291,0.001332291,14530,98750.39771
121,14520,1058709,0.001058709,14641,100582.8942
122,14762,1156250,0.00115625,16857,102433.5446
123,15006,1353000,0.001353,17886,104302.3727
124,15252,1306375,0.001306375,19328,106189.4021
125,15500,1338041,0.001338041,15456,108094.6564
126,15750,1207917,0.001207917,18912,110018.1588
127,16002,1583250,0.00158325,20144,111959.9324
128,16256,1455916,0.001455916,16480,113920
129,16512,2769125,0.002769125,18086,115898.3844
130,16770,2988791,0.002988791,23778,117895.1082
131,17030,1919584,0.001919584,20836,119910.1937
132,17292,1973375,0.001973375,17951,121943.6631
133,17556,2023875,0.002023875,19831,123995.5384
134,17822,1490709,0.001490709,17031,126065.8416
135,18090,1979292,0.001979292,20851,128154.5942
136,18360,2079292,0.002079292,22965,130261.8178
137,18632,2266666,0.002266666,20438,132387.5338
138,18906,2274583,0.002274583,22299,134531.7634
139,19182,2056583,0.002056583,23010,136694.5277
140,19460,1611916,0.001611916,20110,138875.8475
141,19740,2257333,0.002257333,25844,141075.7437
142,20022,2268750,0.00226875,24404,143294.2368
143,20306,2025875,0.002025875,26063,145531.3474
144,20592,2107125,0.002107125,23498,147787.0956
145,20880,2490833,0.002490833,29171,150061.5018
146,21170,2915917,0.002915917,24820,152354.5859
147,21462,2889042,0.002889042,22617,154666.3679
148,21756,2246792,0.002246792,27567,156996.8674
149,22052,2487334,0.002487334,26981,159346.1042
150,22350,3011125,0.003011125,27637,161714.0977
151,22650,2183916,0.002183916,25310,164100.8673
152,22952,3451042,0.003451042,29422,166506.4323
153,23256,3391291,0.003391291,25874,168930.8117
154,23562,3176083,0.003176083,33043,171374.0245
155,23870,2559167,0.002559167,26578,173836.0896
156,24180,3647375,0.003647375,30986,176317.0257
157,24492,2503250,0.00250325,21900,178816.8514
158,24806,2920459,0.002920459,33108,181335.5852
159,25122,2470542,0.002470542,27986,183873.2456
160,25440,3334542,0.003334542,28007,186429.8507
161,25760,3871667,0.003871667,32517,189005.4188
162,26082,2956250,0.00295625,29576,191599.9678
163,26406,4659125,0.004659125,34020,194213.5156
164,26732,3269917,0.003269917,33923,196846.0802
165,27060,3093459,0.003093459,36923,199497.6791
166,27390,2783959,0.002783959,33617,202168.33
167,27722,3689750,0.00368975,37267,204858.0504
168,28056,3022500,0.0030225,34963,207566.8576
169,28392,4002625,0.004002625,38604,210294.769
170,28730,3725084,0.003725084,35950,213041.8016